# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3901	4.7102E-001	5.6923E-004	5.7157E-002	10082	-9.3882E-003	-2.3980E-002	-1.2347E-002	-7.0512E-003	1.0176E-002
3902	4.6728E-001	5.7116E-004	5.7356E-002	10084	-9.2238E-003	-2.4166E-002	-1.4435E-002	-4.8241E-003	7.7510E-003
3903	4.6204E-001	5.5648E-004	5.5880E-002	10083	-9.0317E-003	-2.3452E-002	-1.2124E-002	-3.5830E-003	7.0875E-003
3904	4.5646E-001	5.5836E-004	5.6071E-002	10084	-8.9599E-003	-2.2745E-002	-1.0318E-002	-2.0094E-004	1.5657E-002
3905	4.5178E-001	5.6427E-004	5.6651E-002	10080	-8.6015E-003	-2.3788E-002	-8.7494E-003	4.4040E-003	1.9904E-002
3906	4.5173E-001	5.4904E-004	5.5120E-002	10079	-7.4893E-003	-2.4478E-002	-5.9061E-003	1.2392E-002	2.6321E-002
3907	4.5781E-001	5.4298E-004	5.4518E-002	10081	-7.6003E-003	-2.1091E-002	-6.5211E-003	1.5095E-002	2.0634E-002
3908	4.6959E-001	5.6201E-004	5.6449E-002	10088	-8.7004E-003	-2.2704E-002	-8.7105E-003	1.1101E-002	1.9571E-002
3909	4.8791E-001	5.6829E-004	5.7068E-002	10084	-8.9164E-003	-2.5136E-002	-1.1279E-002	2.4752E-003	1.0776E-002
3910	5.0533E-001	5.8384E-004	5.8624E-002	10082	-9.4876E-003	-2.7897E-002	-1.4909E-002	-4.8770E-003	8.4818E-003
3911	5.2076E-001	5.9619E-004	5.9852E-002	10078	-1.0465E-002	-2.7620E-002	-1.3478E-002	-1.1767E-002	3.0663E-003
3912	5.3078E-001	6.0172E-004	6.0405E-002	10077	-1.0187E-002	-2.8410E-002	-1.4581E-002	-1.4306E-002	-4.3361E-005
3913	5.3717E-001	5.9004E-004	5.9246E-002	10082	-9.9503E-003	-2.8708E-002	-1.3617E-002	-1.1370E-002	2.9598E-003
3914	5.3949E-001	5.8531E-004	5.8780E-002	10085	-9.7865E-003	-2.8134E-002	-1.0550E-002	-6.0662E-003	9.2383E-004
3915	5.3609E-001	5.9134E-004	5.9392E-002	10087	-9.6531E-003	-2.7768E-002	-9.6253E-003	-2.5679E-003	3.9538E-003
3916	5.2869E-001	5.8332E-004	5.8575E-002	10083	-9.4478E-003	-2.6068E-002	-1.2514E-002	-8.0179E-003	4.7703E-003
3917	5.1823E-001	5.6678E-004	5.6905E-002	10080	-8.9696E-003	-2.3935E-002	-1.0471E-002	-7.2152E-003	3.6444E-003
3918	5.0467E-001	5.7899E-004	5.8125E-002	10078	-9.4462E-003	-2.5809E-002	-1.1742E-002	-3.2113E-003	8.0783E-003
3919	4.8872E-001	5.7331E-004	5.7561E-002	10080	-9.1372E-003	-2.5747E-002	-9.8423E-003	2.8476E-003	7.2681E-003
