# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
6787	8.3251E-001	8.4729E-004	6.4956E-002	5877	4.2667E-003	-1.2716E-002	4.6602E-003	1.9544E-003	3.2526E-003
6788	8.3458E-001	8.4934E-004	6.5003E-002	5857	4.3459E-003	-1.2742E-002	4.5123E-003	1.7775E-003	3.5155E-003
6789	8.3675E-001	8.4453E-004	6.4763E-002	5881	4.3426E-003	-1.2686E-002	4.2881E-003	1.8794E-003	3.7810E-003
6790	8.3968E-001	8.4516E-004	6.4806E-002	5880	4.3026E-003	-1.2672E-002	4.1112E-003	1.4041E-003	4.2544E-003
6791	8.4095E-001	8.4142E-004	6.4538E-002	5883	4.3588E-003	-1.2693E-002	3.8739E-003	1.0609E-003	4.0884E-003
6792	8.4191E-001	8.5351E-004	6.5689E-002	5923	4.4148E-003	-1.2903E-002	3.9841E-003	2.0108E-003	3.2602E-003
6793	8.4181E-001	8.5648E-004	6.5739E-002	5891	4.4193E-003	-1.2894E-002	4.8095E-003	3.0101E-003	3.5040E-003
6794	8.3989E-001	8.5245E-004	6.5369E-002	5880	4.2609E-003	-1.2927E-002	4.6699E-003	2.3012E-003	3.8412E-003
6795	8.3766E-001	8.5169E-004	6.5412E-002	5899	4.2002E-003	-1.2848E-002	4.6293E-003	1.9188E-003	3.9730E-003
6796	8.3721E-001	8.5710E-004	6.5644E-002	5866	4.2900E-003	-1.2935E-002	4.9302E-003	2.3359E-003	3.6436E-003
6797	8.3761E-001	8.6524E-004	6.6218E-002	5857	4.3271E-003	-1.3089E-002	4.9906E-003	2.3362E-003	3.3219E-003
6798	8.3907E-001	8.6403E-004	6.6021E-002	5839	4.2768E-003	-1.2936E-002	5.1084E-003	2.3562E-003	4.2201E-003
6799	8.4103E-001	8.6011E-004	6.5502E-002	5800	4.3883E-003	-1.2832E-002	4.9287E-003	2.0654E-003	3.6856E-003
6800	8.4204E-001	8.5939E-004	6.5262E-002	5767	4.3642E-003	-1.2804E-002	4.7205E-003	1.8653E-003	3.8284E-003
6801	8.4343E-001	8.7725E-004	6.6376E-002	5725	4.2542E-003	-1.3013E-002	4.5601E-003	2.4376E-003	3.6617E-003
6802	8.4508E-001	8.8441E-004	6.6596E-002	5670	4.3812E-003	-1.3155E-002	4.3744E-003	2.2810E-003	3.1910E-003
6803	8.4571E-001	8.9084E-004	6.7192E-002	5689	4.5221E-003	-1.3067E-002	4.4522E-003	1.6444E-003	3.2502E-003
6804	8.4662E-001	8.7963E-004	6.6397E-002	5698	4.5515E-003	-1.2958E-002	4.2510E-003	1.7019E-003	2.5769E-003
6805	8.4509E-001	8.7250E-004	6.5774E-002	5683	4.5517E-003	-1.2858E-002	4.2391E-003	1.6664E-003	2.6294E-003
6806	8.4470E-001	8.7080E-004	6.5978E-002	5741	4.3731E-003	-1.2861E-002	4.3593E-003	1.5100E-003	3.0902E-003
6807	8.4371E-001	8.6690E-004	6.5660E-002	5737	4.2159E-003	-1.3011E-002	4.1689E-003	1.8295E-003	3.5675E-003
6808	8.4290E-001	8.6762E-004	6.5638E-002	5723	4.2581E-003	-1.3097E-002	4.1960E-003	1.9945E-003	3.0883E-003
6809	8.4250E-001	8.8679E-004	6.7305E-002	5760	4.1994E-003	-1.3441E-002	4.2690E-003	2.3671E-003	2.9914E-003
6810	8.4233E-001	8.7941E-004	6.6576E-002	5731	4.3324E-003	-1.3278E-002	4.3002E-003	2.6026E-003	2.9606E-003
6811	8.4274E-001	8.8014E-004	6.6862E-002	5771	4.4483E-003	-1.3124E-002	4.5296E-003	2.6133E-003	3.3860E-003
6812	8.4290E-001	8.7527E-004	6.6626E-002	5794	4.4255E-003	-1.3033E-002	4.3664E-003	2.6197E-003	3.2156E-003
6813	8.4280E-001	8.6943E-004	6.6162E-002	5791	4.2645E-003	-1.3053E-002	4.2789E-003	2.7077E-003	3.3256E-003
6814	8.4301E-001	8.7358E-004	6.6749E-002	5838	4.2276E-003	-1.2977E-002	4.3318E-003	2.4389E-003	3.4009E-003
6815	8.4306E-001	8.7567E-004	6.6765E-002	5813	4.2969E-003	-1.3058E-002	4.4769E-003	2.9322E-003	3.5031E-003
6816	8.4261E-001	8.6745E-004	6.6095E-002	5806	4.3655E-003	-1.3128E-002	4.7723E-003	2.5904E-003	3.2395E-003
6817	8.4352E-001	8.8932E-004	6.7865E-002	5823	4.4209E-003	-1.3253E-002	4.7663E-003	2.1252E-003	2.8030E-003
6818	8.4417E-001	8.8619E-004	6.7413E-002	5787	4.4076E-003	-1.3279E-002	4.8042E-003	2.1110E-003	3.1255E-003
6819	8.4483E-001	8.7694E-004	6.6651E-002	5777	4.3352E-003	-1.3148E-002	4.3389E-003	2.2679E-003	3.7276E-003
6820	8.4573E-001	8.7531E-004	6.6725E-002	5811	4.3385E-003	-1.2935E-002	3.9920E-003	2.2359E-003	3.8593E-003
6821	8.4541E-001	8.8398E-004	6.7327E-002	5801	4.3650E-003	-1.3327E-002	4.1742E-003	2.6650E-003	2.9817E-003
6822	8.4485E-001	8.8789E-004	6.7659E-002	5807	4.3713E-003	-1.3373E-002	4.2754E-003	2.6353E-003	3.0133E-003
6823	8.4484E-001	8.9088E-004	6.7791E-002	5790	4.3872E-003	-1.3307E-002	4.1536E-003	2.1278E-003	3.4456E-003
6824	8.4656E-001	8.9042E-004	6.7309E-002	5714	4.4490E-003	-1.3358E-002	4.0712E-003	2.1643E-003	3.6454E-003
6825	8.4893E-001	8.9685E-004	6.7776E-002	5711	4.3925E-003	-1.3316E-002	4.3383E-003	2.2621E-003	3.3217E-003
6826	8.4929E-001	8.9118E-004	6.7121E-002	5673	4.3303E-003	-1.3122E-002	4.4012E-003	2.7079E-003	4.0674E-003
6827	8.4778E-001	8.8529E-004	6.6458E-002	5635	4.3122E-003	-1.3057E-002	4.2865E-003	2.9294E-003	3.5097E-003
6828	8.4518E-001	8.9128E-004	6.7032E-002	5656	4.2751E-003	-1.3127E-002	4.4328E-003	2.9399E-003	3.1886E-003
6829	8.4285E-001	9.0427E-004	6.7941E-002	5645	4.4455E-003	-1.3307E-002	4.4565E-003	2.7844E-003	2.6238E-003
6830	8.4158E-001	9.0320E-004	6.7792E-002	5634	4.4469E-003	-1.3336E-002	4.5159E-003	2.7352E-003	2.2814E-003
6831	8.4112E-001	8.9853E-004	6.7800E-002	5694	4.3810E-003	-1.3363E-002	4.6896E-003	2.1976E-003	2.6327E-003
6832	8.4088E-001	8.8628E-004	6.6907E-002	5699	4.3013E-003	-1.3301E-002	4.1189E-003	1.7305E-003	3.4945E-003
6833	8.4289E-001	8.8872E-004	6.7232E-002	5723	4.3903E-003	-1.3279E-002	4.0290E-003	1.7804E-003	4.0516E-003
6834	8.4494E-001	9.0109E-004	6.8180E-002	5725	4.4062E-003	-1.3393E-002	4.1100E-003	2.1742E-003	3.9389E-003
6835	8.4622E-001	8.9571E-004	6.7569E-002	5691	4.4257E-003	-1.3446E-002	4.1937E-003	2.5801E-003	3.4963E-003
6836	8.4712E-001	9.0135E-004	6.8317E-002	5745	4.5271E-003	-1.3481E-002	4.2767E-003	2.2087E-003	3.9691E-003
6837	8.4633E-001	8.9728E-004	6.7884E-002	5724	4.4583E-003	-1.3216E-002	4.3989E-003	1.8391E-003	4.4575E-003
6838	8.4389E-001	8.8729E-004	6.7183E-002	5733	4.3043E-003	-1.3143E-002	4.5362E-003	2.1486E-003	4.5534E-003
6839	8.3995E-001	8.7956E-004	6.6766E-002	5762	4.2038E-003	-1.3120E-002	4.4185E-003	2.5179E-003	4.5379E-003
6840	8.3515E-001	8.7762E-004	6.6567E-002	5753	4.2651E-003	-1.3222E-002	4.2549E-003	2.7680E-003	3.5924E-003
6841	8.2965E-001	8.7005E-004	6.6013E-002	5757	4.0867E-003	-1.3157E-002	4.3097E-003	2.9079E-003	3.3811E-003
6842	8.2521E-001	8.7392E-004	6.6475E-002	5786	3.8323E-003	-1.3180E-002	4.0941E-003	3.3834E-003	2.5622E-003
6843	8.2283E-001	8.5583E-004	6.4998E-002	5768	3.9361E-003	-1.2992E-002	4.2044E-003	2.7011E-003	2.5944E-003
6844	8.2361E-001	8.5854E-004	6.5356E-002	5795	4.0301E-003	-1.2844E-002	4.5976E-003	2.1908E-003	2.4403E-003
6845	8.2635E-001	8.7097E-004	6.6443E-002	5820	4.1477E-003	-1.2977E-002	4.5999E-003	2.5301E-003	3.1134E-003
6846	8.3209E-001	8.7131E-004	6.6273E-002	5785	4.2716E-003	-1.3066E-002	4.3415E-003	2.0089E-003	3.7540E-003
6847	8.3790E-001	8.8766E-004	6.7827E-002	5839	4.2655E-003	-1.3392E-002	4.2247E-003	1.9088E-003	4.3971E-003
6848	8.4104E-001	8.8771E-004	6.7823E-002	5837	4.2979E-003	-1.3406E-002	4.1513E-003	2.1157E-003	4.6578E-003
6849	8.4256E-001	8.8487E-004	6.7579E-002	5833	4.2111E-003	-1.3456E-002	4.1679E-003	2.5306E-003	4.3157E-003
6850	8.4269E-001	8.8547E-004	6.7699E-002	5845	4.3540E-003	-1.3330E-002	4.1193E-003	2.6989E-003	3.7389E-003
6851	8.4284E-001	8.8948E-004	6.7895E-002	5826	4.3907E-003	-1.3308E-002	4.6028E-003	1.7137E-003	4.3078E-003
6852	8.4248E-001	8.8909E-004	6.7746E-002	5806	4.3838E-003	-1.3287E-002	3.8948E-003	1.8552E-003	3.8038E-003
6853	8.3967E-001	8.8288E-004	6.7383E-002	5825	4.3556E-003	-1.3184E-002	3.7759E-003	2.8256E-003	3.6796E-003
6854	8.3677E-001	8.9867E-004	6.8368E-002	5788	4.2716E-003	-1.3054E-002	4.3831E-003	2.3945E-003	2.5774E-003
6855	8.3347E-001	8.9429E-004	6.8167E-002	5810	4.2032E-003	-1.3077E-002	4.0883E-003	2.1634E-003	2.5169E-003
6856	8.2925E-001	8.9752E-004	6.8322E-002	5795	4.1823E-003	-1.3355E-002	3.9068E-003	2.2138E-003	2.3978E-003
6857	8.2647E-001	8.9574E-004	6.7933E-002	5752	4.2747E-003	-1.3503E-002	3.9626E-003	2.4573E-003	2.2902E-003
6858	8.2517E-001	8.9973E-004	6.8439E-002	5786	4.2858E-003	-1.3376E-002	4.0470E-003	2.4481E-003	2.9089E-003
6859	8.2528E-001	8.8644E-004	6.7144E-002	5737	4.2917E-003	-1.3161E-002	3.9349E-003	2.1347E-003	3.4734E-003
6860	8.2648E-001	8.6810E-004	6.5747E-002	5736	4.2485E-003	-1.2915E-002	4.1182E-003	1.9624E-003	4.0297E-003
6861	8.2678E-001	8.7641E-004	6.6594E-002	5774	4.2765E-003	-1.3036E-002	4.3753E-003	2.1235E-003	3.6814E-003
6862	8.2642E-001	8.8065E-004	6.6943E-002	5778	4.2923E-003	-1.3097E-002	4.4818E-003	2.2545E-003	3.1901E-003
6863	8.2666E-001	8.8488E-004	6.7392E-002	5800	4.3457E-003	-1.3247E-002	4.4795E-003	2.3195E-003	3.2842E-003
6864	8.2977E-001	8.9994E-004	6.8517E-002	5797	4.2117E-003	-1.3589E-002	3.9079E-003	3.2375E-003	3.4492E-003
6865	8.3427E-001	8.8116E-004	6.7013E-002	5784	4.3811E-003	-1.3240E-002	4.2330E-003	2.9045E-003	4.1274E-003
6866	8.3981E-001	8.9116E-004	6.8033E-002	5828	4.4983E-003	-1.3101E-002	4.7105E-003	2.5089E-003	4.4867E-003
6867	8.4371E-001	9.0159E-004	6.8823E-002	5827	4.5481E-003	-1.3210E-002	4.4799E-003	1.9271E-003	4.4876E-003
6868	8.4593E-001	9.0164E-004	6.8868E-002	5834	4.6204E-003	-1.3434E-002	4.2564E-003	2.1519E-003	4.5490E-003
6869	8.4762E-001	8.9345E-004	6.8516E-002	5881	4.5436E-003	-1.3463E-002	3.8640E-003	1.8812E-003	4.2019E-003
6870	8.4797E-001	8.8501E-004	6.7952E-002	5895	4.4967E-003	-1.3341E-002	4.2298E-003	2.4997E-003	4.1972E-003
6871	8.4683E-001	8.8558E-004	6.7913E-002	5881	4.4601E-003	-1.3287E-002	4.5748E-003	2.8428E-003	4.4430E-003
6872	8.4547E-001	8.8048E-004	6.7652E-002	5904	4.3169E-003	-1.3316E-002	4.4688E-003	2.9071E-003	4.2423E-003
6873	8.4425E-001	8.8300E-004	6.7790E-002	5894	4.4522E-003	-1.3429E-002	4.4427E-003	2.9875E-003	3.7393E-003
6874	8.4236E-001	8.8186E-004	6.7827E-002	5916	4.4064E-003	-1.3378E-002	4.5129E-003	2.6497E-003	3.6063E-003
